ObjektNr;BaustKanton;Kurzbeschreibung;BauartCode;Baubeginn;Bauende;GesuchVom;BewilligtAm;BaukostenVon;BaukostenBis;AnzGeb;AnzWhg;AnzEtagen;AnzUG;AnzPP;CRBCode01;CRBCode02;CRBCode03;CRBCode04;CRBCode05;CRBCode06;CRBCode07;CRBCode08;CRBCode09;CRBCode10
99918641;BE;Anbau Keller, Garage und Schlafraum bei Bauernhaus;2;Dez 06;Mai 07;30.11.2006;25.01.2007;0.1;0.1;1;1;2;1;0;14;139;;;;;;;;
99918638;BE;Erweiterung und Umbau Einfamilien- in Zweifamilienhaus;2;Mrz 07; ;28.11.2006;23.01.2007;0.2;0.2;1;2;3;0;0;14;;;;;;;;;
99926680;BE;Erweiterung einer Antennenanlage         ;2; ; ;22.01.2007; ;0.07;0.07;0;0;0;0;0;631;;;;;;;;;
99926678;BE;Umbau eines Bauernhauses                               ;3; ; ;22.01.2007; ;0.05;0.05;1;1;2;0;0;14;;;;;;;;;
99926097;BE;Umbau eines Chalets, Neubau Carport;3; ; ;17.01.2007; ;0.12;0.12;1;1;1;0;0;14;174;;;;;;;;
99926095;BE;Neubau Antennenanlage         ;1; ; ;16.01.2007; ;0.07;0.07;0;0;0;0;0;631;;;;;;;;;
99924768;BE;Erweiterung und Umbau eines Einfamilienhauses         ;2; ; ;10.01.2007; ;0.3;0.3;1;1;2;0;0;14;;;;;;;;;
99916397;BE;Einbau von Fenstern und Sanierung Treppe bei Hotel;3;Jan 07;Feb 07;14.11.2006;08.01.2007;0.1;0.1;1;0;4;0;0;112;;;;;;;;;
99916395;BE;Umbau eines Einfamilienhauses;3;Dez 06;Mai 07;13.11.2006;08.01.2007;0.18;0.18;1;1;0;0;2;14;;;;;;;;;
99916390;BE;Anbau einer Scheune mit Heulager für Lamas         ;2; ; ;16.11.2006;25.01.2007;0.385;0.385;1;0;2;0;0;43;;;;;;;;;
99914322;BE;Neubau Gebäude als Aufenthaltsraum, Umbau Wasch- und Toilettenanlage;1;Okt 07; ;31.10.2006;03.01.2007;0.05;0.05;2;0;1;0;0;118;;;;;;;;;
99914321;BE;Erweiterung/Aufstockung und Umbau eines Personalhauses;2;Apr 07;Okt 07;01.11.2006;23.01.2007;0.95;0.95;1;0;0;0;0;12;;;;;;;;;
99922863;BE;Umbau eines Ladenlokals;3; ; ;03.01.2007; ;0.2;0.2;1;0;1;0;0;61;;;;;;;;;
99922862;BE;Umbau/Aenderung und Erweiterung einer Kommunikationsanlage;2; ; ;02.01.2007; ;0.07;0.07;0;0;0;0;0;631;;;;;;;;;
99922861;BE;Neubau eines Zielgebäudes           ;1; ; ;03.01.2007; ;1.5;1.5;1;0;2;2;0;168;;;;;;;;;
99924278;BE;Abbruch einer Scheune;5; ; ;11.01.2007; ;0.01;0.01;1;0;0;0;0;43;;;;;;;;;
99924276;BE;Neubau Mehrfamilienhaus, Einfamilienhaus, Autounterstände und Garagen   ;1; ; ;11.01.2007; ;2.6;2.6;2;4;0;1;0;12;14;139;174;;;;;;
99924274;BE;Neubau von zwei Einfamilienhäusern mit Garage;1; ; ;08.01.2007; ;2.8;2.8;2;2;2;1;0;14;139;;;;;;;;
99924272;BE;Neubau 2 Mehrfamilienhäuser mit Einstellhalle                           ;1; ; ;10.01.2007; ;4;4;2;8;3;1;3;12;131;;;;;;;;
99924436;BE;Neubau einer Erschliessungsstrasse                     ;1; ; ;08.01.2007; ;0.09;0.09;0;0;0;0;0;211;311;321;323;;;;;;
99924435;BE;Neubau eines Sanitärgebäudes;1; ; ;10.01.2007; ;0.45;0.45;1;0;1;0;0;118;;;;;;;;;
99924434;BE;Verglasung Unterstand/Sitzplatz;2; ; ;08.01.2007; ;0.03;0.03;1;0;0;0;0;;;;;;;;;;
99924433;BE;Neubau Einfamilienhaus mit Büro                      ;1; ; ;08.01.2007; ;0.86;0.86;1;1;2;1;0;14;64;;;;;;;;
99917671;BE;Umbau Ferienhaus und Neubau Klärgrube         ;3; ; ;23.11.2006;18.01.2007;0.15;0.15;1;1;0;0;0;14;312;;;;;;;;
99917668;BE;Umbau und Sanierung eines Einfamilienhauses, Anbau Autounterstand;3;Mrz 07; ;21.11.2006;25.01.2007;0.5;0.5;1;1;2;0;0;14;174;;;;;;;;
99915354;BE;Erweiterung Büro bei Schulgebäude                       ;2;Mrz 07;Jul 07;08.11.2006;04.01.2007;0.15;0.15;1;0;2;0;0;64;;;;;;;;;
